epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.70631,2.1519,4.30102,2.19314,0.07283,0.29966,0.13575,0.04953,1.695,3.12841,1.76563,0.000367027,0.000367027,0.000367027
2,18.0873,1.72326,3.35994,1.71075,0.32868,0.31042,0.14377,0.04649,1.79628,2.9074,2.08436,0.000734927,0.000734927,0.000734927
3,26.3079,1.67653,3.04085,1.66062,0.16441,0.62306,0.24669,0.11153,1.69625,2.56184,1.65573,0.00110038,0.00110038,0.00110038
4,34.6152,1.6761,2.85919,1.6223,0.16633,0.49115,0.24572,0.12038,1.56975,2.20235,1.5677,0.0011,0.0011,0.0011
5,42.9025,1.65983,2.7943,1.61772,0.36561,0.45465,0.23575,0.1192,1.52644,2.18583,1.54384,0.00109633,0.00109633,0.00109633
6,51.2043,1.63365,2.61188,1.55391,0.34024,0.58841,0.27138,0.13013,1.54373,2.11515,1.49552,0.00109267,0.00109267,0.00109267
7,59.4542,1.59106,2.53699,1.55638,0.15027,0.63053,0.27171,0.13839,1.58963,1.98538,1.5362,0.001089,0.001089,0.001089
8,67.858,1.6092,2.49129,1.57324,0.5281,0.52145,0.25904,0.13863,1.52049,1.90603,1.48255,0.00108534,0.00108534,0.00108534
9,76.2473,1.59177,2.32166,1.53009,0.3519,0.55142,0.27443,0.13987,1.50396,1.81356,1.47633,0.00108167,0.00108167,0.00108167
10,85.1788,1.53922,2.23087,1.51254,0.18277,0.62212,0.29596,0.1616,1.50162,1.75133,1.46799,0.001078,0.001078,0.001078
11,94.4439,1.55807,2.18276,1.50393,0.13313,0.56664,0.29622,0.12483,1.63279,2.11501,1.58016,0.00107434,0.00107434,0.00107434
12,103.58,1.57457,2.17807,1.54807,0.59449,0.26362,0.32338,0.17197,1.47358,1.74033,1.47541,0.00107067,0.00107067,0.00107067
13,112.45,1.55547,2.15257,1.53678,0.37898,0.60351,0.39477,0.19748,1.51296,1.67663,1.47054,0.001067,0.001067,0.001067
14,121.573,1.5206,1.95032,1.50433,0.41081,0.5911,0.41706,0.20031,1.57723,1.68802,1.55334,0.00106334,0.00106334,0.00106334
15,130.445,1.55055,1.94237,1.52726,0.18748,0.72048,0.43814,0.21533,1.49788,1.64536,1.49128,0.00105967,0.00105967,0.00105967
16,139.197,1.52661,1.87123,1.49098,0.25336,0.56761,0.46936,0.24995,1.48816,1.57643,1.45935,0.00105601,0.00105601,0.00105601
17,148.076,1.54863,1.90729,1.51204,0.20019,0.59602,0.3972,0.19594,1.53638,1.70334,1.48944,0.00105234,0.00105234,0.00105234
18,156.821,1.49288,1.92014,1.48214,0.4551,0.66086,0.50054,0.28142,1.498,1.4975,1.47654,0.00104867,0.00104867,0.00104867
19,166.163,1.51123,1.81614,1.50006,0.45464,0.60891,0.48195,0.25422,1.51047,1.44936,1.45492,0.00104501,0.00104501,0.00104501
20,175.386,1.47976,1.80563,1.48565,0.3198,0.59675,0.49143,0.25629,1.59553,1.52051,1.4851,0.00104134,0.00104134,0.00104134
21,184.807,1.50883,1.81787,1.49054,0.25138,0.67184,0.45327,0.24438,1.55967,1.43245,1.50382,0.00103767,0.00103767,0.00103767
22,194.106,1.49592,1.80924,1.50985,0.30701,0.56773,0.55955,0.29427,1.59038,1.34826,1.52818,0.00103401,0.00103401,0.00103401
23,203.106,1.47204,1.73372,1.44529,0.50938,0.71923,0.5466,0.30335,1.49435,1.35853,1.41779,0.00103034,0.00103034,0.00103034
24,212.651,1.51833,1.69107,1.48387,0.47215,0.61104,0.40919,0.21627,1.60452,1.51076,1.55676,0.00102668,0.00102668,0.00102668
25,221.842,1.54089,1.77549,1.5068,0.2441,0.59597,0.49703,0.26189,1.51661,1.4834,1.48632,0.00102301,0.00102301,0.00102301
26,231.068,1.4698,1.75773,1.45322,0.31294,0.66284,0.49323,0.26849,1.47805,1.39365,1.45429,0.00101934,0.00101934,0.00101934
27,240.368,1.47065,1.7425,1.49334,0.23957,0.53005,0.41485,0.2377,1.48655,1.66968,1.50259,0.00101568,0.00101568,0.00101568
28,249.709,1.5229,1.71534,1.5161,0.32298,0.64233,0.47822,0.26275,1.53045,1.38784,1.50354,0.00101201,0.00101201,0.00101201
29,258.83,1.46977,1.74854,1.49265,0.23975,0.67815,0.40539,0.20722,1.54574,1.6242,1.479,0.00100834,0.00100834,0.00100834
30,268.024,1.53942,1.71454,1.5094,0.28784,0.6959,0.46107,0.24125,1.55427,1.40257,1.50796,0.00100468,0.00100468,0.00100468
31,277.032,1.46808,1.68311,1.47891,0.312,0.76255,0.51879,0.2632,1.65067,1.39657,1.55842,0.00100101,0.00100101,0.00100101
