epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6135,2.09876,3.9519,2.10218,0.19505,0.61186,0.25183,0.08244,1.89379,3.25726,1.84434,0.000414352,0.000414352,0.000414352
2,25.1317,1.74853,3.15732,1.70485,0.20263,0.70631,0.28149,0.10786,1.63025,2.61751,1.57054,0.000828276,0.000828276,0.000828276
3,36.5614,1.7169,2.93986,1.6778,0.18901,0.5315,0.22748,0.08049,1.75839,2.49403,1.61131,0.00123945,0.00123945,0.00123945
4,47.9031,1.67504,2.72869,1.62868,0.20598,0.53841,0.29508,0.13645,1.55653,2.12853,1.51989,0.00123763,0.00123763,0.00123763
5,59.4814,1.70544,2.65823,1.64812,0.19562,0.61742,0.24267,0.11239,1.53202,2.07066,1.44293,0.0012335,0.0012335,0.0012335
6,70.7769,1.67808,2.49169,1.63151,0.21205,0.45673,0.28181,0.13214,1.60957,1.91027,1.54006,0.00122937,0.00122937,0.00122937
7,82.4169,1.64383,2.38594,1.60309,0.12545,0.44562,0.22178,0.11723,1.52104,1.8624,1.43393,0.00122525,0.00122525,0.00122525
8,93.7891,1.60677,2.27649,1.58201,0.17582,0.48465,0.28884,0.15089,1.55165,1.8557,1.49736,0.00122112,0.00122112,0.00122112
9,105.102,1.57811,2.23287,1.53406,0.17986,0.32076,0.31839,0.15717,1.57355,1.77503,1.49086,0.001217,0.001217,0.001217
10,116.539,1.57797,2.16306,1.55992,0.20693,0.73735,0.31256,0.16005,1.54594,1.89267,1.46595,0.00121287,0.00121287,0.00121287
11,128.024,1.59342,2.14445,1.57324,0.2554,0.55061,0.3612,0.2033,1.55893,1.71474,1.49086,0.00120875,0.00120875,0.00120875
12,139.316,1.55943,2.0816,1.53611,0.237,0.53611,0.38933,0.17422,1.69727,1.60325,1.5433,0.00120462,0.00120462,0.00120462
13,150.661,1.54903,2.02404,1.53591,0.2616,0.62496,0.30523,0.15635,1.53648,1.87768,1.45876,0.0012005,0.0012005,0.0012005
14,162.047,1.52215,2.02969,1.50729,0.28105,0.62768,0.34079,0.16872,1.5644,1.80028,1.45451,0.00119637,0.00119637,0.00119637
15,173.556,1.55298,2.02757,1.52963,0.3053,0.57387,0.41581,0.20712,1.45628,1.63178,1.40391,0.00119225,0.00119225,0.00119225
16,184.886,1.5382,1.96063,1.51453,0.26994,0.64021,0.43888,0.23205,1.54002,1.46009,1.46831,0.00118812,0.00118812,0.00118812
17,196.274,1.49783,1.92124,1.49082,0.30501,0.53056,0.42732,0.21871,1.54713,1.39387,1.46463,0.001184,0.001184,0.001184
18,207.796,1.53304,1.91237,1.53449,0.32377,0.63159,0.47902,0.25265,1.57574,1.39206,1.53913,0.00117988,0.00117988,0.00117988
19,219.208,1.51682,1.90189,1.53123,0.30552,0.64146,0.4538,0.23345,1.54997,1.46145,1.4782,0.00117575,0.00117575,0.00117575
20,230.548,1.50429,1.86331,1.53086,0.50106,0.64016,0.54457,0.29371,1.53558,1.37283,1.45541,0.00117163,0.00117163,0.00117163
21,241.955,1.51255,1.84044,1.51692,0.37105,0.68861,0.4805,0.259,1.55853,1.31616,1.48418,0.0011675,0.0011675,0.0011675
22,253.517,1.50754,1.89987,1.52433,0.35575,0.62369,0.49734,0.26251,1.54598,1.30814,1.47989,0.00116337,0.00116337,0.00116337
23,264.939,1.47736,1.84434,1.48915,0.35464,0.46704,0.50327,0.24794,1.55079,1.31876,1.50176,0.00115925,0.00115925,0.00115925
