epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3779,1.93414,4.16406,2.06621,0.12247,0.37077,0.15701,0.06281,1.83101,2.7017,1.7746,0.000368424,0.000368424,0.000368424
2,32.7754,1.67039,3.12547,1.63008,0.21341,0.6102,0.26037,0.11244,1.69675,2.43079,1.7051,0.00073632,0.00073632,0.00073632
3,47.6967,1.64074,2.92897,1.61721,0.14881,0.66729,0.22749,0.10145,1.60728,2.14601,1.51877,0.00110177,0.00110177,0.00110177
4,62.8804,1.64497,2.79901,1.57697,0.16155,0.82335,0.24103,0.12694,1.51521,2.12161,1.50613,0.0011,0.0011,0.0011
5,77.7619,1.6038,2.62716,1.55217,0.20693,0.54671,0.24801,0.12932,1.55663,2.06171,1.49924,0.00109633,0.00109633,0.00109633
6,92.6428,1.58196,2.46986,1.51561,0.18789,0.88993,0.23001,0.11361,1.607,2.02843,1.53026,0.00109267,0.00109267,0.00109267
7,107.836,1.58118,2.40147,1.54728,0.21049,0.57143,0.2576,0.12713,1.59693,1.95234,1.55763,0.001089,0.001089,0.001089
8,122.98,1.5627,2.28717,1.53548,0.18693,0.89621,0.27261,0.1514,1.42968,1.81013,1.40385,0.00108534,0.00108534,0.00108534
9,137.874,1.52108,2.20663,1.49585,0.18266,0.88096,0.2872,0.15361,1.44953,1.89146,1.4315,0.00108167,0.00108167,0.00108167
10,153.03,1.53512,2.19905,1.50742,0.26589,0.63384,0.33176,0.16893,1.50806,1.78576,1.49541,0.001078,0.001078,0.001078
11,168.133,1.51108,2.10015,1.48806,0.25527,0.68696,0.3584,0.18066,1.54117,1.74664,1.50402,0.00107434,0.00107434,0.00107434
12,181.317,1.51232,2.11031,1.50582,0.23943,0.69634,0.37099,0.17892,1.53543,1.77018,1.49701,0.00107067,0.00107067,0.00107067
13,193.871,1.52973,2.05848,1.50951,0.30395,0.60755,0.36836,0.18905,1.58491,1.70995,1.57751,0.001067,0.001067,0.001067
14,206.478,1.50928,2.06863,1.51177,0.2953,0.79001,0.36429,0.18971,1.61024,1.92745,1.5532,0.00106334,0.00106334,0.00106334
15,218.98,1.52096,2.03567,1.51141,0.21828,0.65617,0.39226,0.1905,1.58429,1.68052,1.60055,0.00105967,0.00105967,0.00105967
16,231.704,1.50268,1.96502,1.53805,0.31637,0.72166,0.42504,0.24091,1.5106,1.57486,1.519,0.00105601,0.00105601,0.00105601
17,244.13,1.49698,1.94816,1.5489,0.38435,0.60288,0.45697,0.23923,1.51963,1.59647,1.5489,0.00105234,0.00105234,0.00105234
18,257,1.49258,1.9517,1.55039,0.29658,0.72412,0.45731,0.23213,1.54045,1.6349,1.58639,0.00104867,0.00104867,0.00104867
19,269.697,1.48851,1.91841,1.54619,0.36133,0.70495,0.5199,0.28405,1.49832,1.44827,1.56583,0.00104501,0.00104501,0.00104501
20,282.3,1.4661,1.90408,1.53319,0.38282,0.72538,0.50307,0.25257,1.50118,1.60801,1.57908,0.00104134,0.00104134,0.00104134
21,294.552,1.44849,1.81422,1.51001,0.30698,0.64176,0.43732,0.23676,1.50276,1.51788,1.58054,0.00103767,0.00103767,0.00103767
22,306.972,1.45705,1.80259,1.49293,0.3678,0.67105,0.50275,0.27699,1.58326,1.45377,1.61021,0.00103401,0.00103401,0.00103401
23,319.759,1.44365,1.76098,1.49159,0.32387,0.87461,0.41804,0.23101,1.5129,1.83696,1.5448,0.00103034,0.00103034,0.00103034
