epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1098.93,1.31875,1.28016,1.46774,0.58651,0.7313,0.67977,0.37965,1.51315,1.14786,1.5771,0.000960682,0.000960682,0.000960682
43,1124.88,1.29207,1.26304,1.44026,0.74837,0.58909,0.73457,0.36495,1.64473,1.11968,1.7087,0.000957015,0.000957015,0.000957015
44,1150.58,1.32474,1.22666,1.45504,0.60039,0.69085,0.71836,0.39178,1.51823,1.09877,1.59221,0.000953349,0.000953349,0.000953349
45,1176.31,1.30571,1.2075,1.45689,0.59314,0.72163,0.64944,0.34372,1.59763,1.23178,1.67979,0.000949683,0.000949683,0.000949683
46,1202.5,1.29625,1.19514,1.43589,0.60105,0.65529,0.65786,0.34416,1.59056,1.1576,1.6637,0.000946016,0.000946016,0.000946016
47,1228.53,1.30579,1.2235,1.45449,0.67935,0.73917,0.73584,0.38578,1.56618,1.05896,1.60964,0.00094235,0.00094235,0.00094235
48,1254.49,1.30109,1.22394,1.44317,0.48567,0.65856,0.58131,0.28584,1.73215,1.26905,1.75006,0.000938684,0.000938684,0.000938684
49,1280.47,1.2859,1.20843,1.44206,0.4562,0.74045,0.59318,0.31555,1.64476,1.16323,1.78254,0.000935018,0.000935018,0.000935018
50,1306.81,1.27662,1.15845,1.43188,0.63167,0.62115,0.71481,0.36284,1.65236,1.15201,1.72095,0.000931351,0.000931351,0.000931351
51,1332.95,1.26462,1.17682,1.42068,0.71445,0.5075,0.70016,0.36202,1.62298,1.20096,1.74901,0.000927685,0.000927685,0.000927685
52,1359.14,1.25366,1.11097,1.4212,0.57283,0.62916,0.68975,0.36188,1.62395,1.19869,1.69022,0.000924019,0.000924019,0.000924019
53,1385.63,1.27421,1.16089,1.43248,0.50537,0.71323,0.66808,0.3445,1.60795,1.15999,1.65259,0.000920352,0.000920352,0.000920352
54,1411.64,1.26905,1.19104,1.42491,0.59613,0.70841,0.70945,0.37992,1.62094,1.3698,1.75212,0.000916686,0.000916686,0.000916686
55,1437.87,1.251,1.11261,1.41172,0.55942,0.68338,0.64407,0.33635,1.66345,1.14921,1.70323,0.00091302,0.00091302,0.00091302
56,1464.14,1.2704,1.13984,1.42085,0.62219,0.66312,0.67796,0.3472,1.65597,1.18526,1.7467,0.000909353,0.000909353,0.000909353
57,1485.37,1.22496,1.08691,1.38381,0.50961,0.76637,0.67032,0.35546,1.62478,1.11276,1.65463,0.000905687,0.000905687,0.000905687
