epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.0545,2.05994,4.17082,2.24472,0.2915,0.55956,0.32695,0.13424,1.71784,2.74885,1.5865,0.000412037,0.000412037,0.000412037
2,17.0731,1.67758,3.21326,1.7746,0.18672,0.53453,0.27531,0.10875,1.73772,2.85929,1.83155,0.000825969,0.000825969,0.000825969
3,24.7697,1.62202,2.91442,1.71136,0.16954,0.45766,0.16195,0.04838,1.66552,2.85968,1.6904,0.00123715,0.00123715,0.00123715
4,32.4329,1.66831,2.73921,1.71493,0.20147,0.58451,0.26595,0.13041,1.57469,2.10139,1.66494,0.00123763,0.00123763,0.00123763
5,40.1517,1.64018,2.62369,1.67005,0.20518,0.45434,0.27753,0.14666,1.49475,2.06346,1.49806,0.0012335,0.0012335,0.0012335
6,48.0069,1.59478,2.45663,1.63541,0.15002,0.53187,0.27104,0.13863,1.52445,1.96474,1.57734,0.00122937,0.00122937,0.00122937
7,55.8388,1.57375,2.36344,1.62883,0.20662,0.55527,0.30998,0.15368,1.52589,1.87006,1.54663,0.00122525,0.00122525,0.00122525
8,63.7067,1.57552,2.2964,1.64008,0.21169,0.43187,0.33573,0.17471,1.53887,1.72196,1.57327,0.00122112,0.00122112,0.00122112
9,71.3926,1.51602,2.13835,1.56837,0.20028,0.46577,0.3239,0.17219,1.51134,1.61818,1.5449,0.001217,0.001217,0.001217
10,79.1974,1.53392,2.08976,1.58475,0.23648,0.65738,0.38467,0.18992,1.57809,1.58788,1.55994,0.00121287,0.00121287,0.00121287
11,86.8754,1.54176,2.0754,1.59581,0.2146,0.62999,0.32663,0.16959,1.51102,1.70202,1.50185,0.00120875,0.00120875,0.00120875
12,94.5624,1.51039,2.03523,1.55149,0.27467,0.46638,0.43732,0.22233,1.49184,1.59673,1.53165,0.00120462,0.00120462,0.00120462
13,102.301,1.48536,2.00878,1.55181,0.32901,0.74474,0.34694,0.16868,1.59882,1.96094,1.62877,0.0012005,0.0012005,0.0012005
14,110.033,1.49606,1.98066,1.56633,0.31265,0.55278,0.49102,0.26782,1.45898,1.40326,1.53395,0.00119637,0.00119637,0.00119637
15,117.739,1.49489,1.92732,1.54491,0.35562,0.55353,0.44219,0.23353,1.52279,1.47305,1.55804,0.00119225,0.00119225,0.00119225
16,125.48,1.46562,1.83498,1.52923,0.50891,0.48664,0.53148,0.28857,1.495,1.32225,1.58889,0.00118812,0.00118812,0.00118812
17,133.181,1.49347,1.84124,1.58049,0.39751,0.66786,0.481,0.25059,1.54704,1.38865,1.63307,0.001184,0.001184,0.001184
18,140.889,1.47318,1.88114,1.55945,0.36087,0.5854,0.48887,0.26184,1.5169,1.4584,1.61898,0.00117988,0.00117988,0.00117988
19,148.583,1.45655,1.78527,1.55797,0.43558,0.60374,0.52438,0.26931,1.56841,1.42429,1.64457,0.00117575,0.00117575,0.00117575
20,156.319,1.4553,1.7895,1.56212,0.36012,0.57516,0.51679,0.28674,1.49055,1.32265,1.59482,0.00117163,0.00117163,0.00117163
21,164.057,1.49257,1.79527,1.57768,0.42336,0.47076,0.49169,0.25161,1.67256,1.41049,1.67159,0.0011675,0.0011675,0.0011675
22,171.756,1.45068,1.72165,1.54696,0.42937,0.58195,0.56187,0.32358,1.4847,1.24075,1.6362,0.00116337,0.00116337,0.00116337
23,179.462,1.45349,1.71136,1.53276,0.43153,0.69534,0.54426,0.30181,1.56261,1.28987,1.63861,0.00115925,0.00115925,0.00115925
24,187.181,1.43607,1.70921,1.51878,0.50382,0.55834,0.56783,0.29664,1.51923,1.36217,1.59738,0.00115513,0.00115513,0.00115513
25,194.896,1.47106,1.69012,1.56019,0.64789,0.50805,0.54578,0.26172,1.64569,1.38228,1.6711,0.001151,0.001151,0.001151
26,202.667,1.41648,1.73189,1.4909,0.4683,0.6645,0.5609,0.31289,1.54276,1.38399,1.61387,0.00114688,0.00114688,0.00114688
27,210.386,1.43659,1.66559,1.53385,0.51075,0.72161,0.54848,0.29313,1.48859,1.46918,1.60119,0.00114275,0.00114275,0.00114275
28,218.09,1.40921,1.66831,1.54105,0.43032,0.55819,0.57059,0.29669,1.63275,1.40484,1.75806,0.00113863,0.00113863,0.00113863
29,225.982,1.42229,1.63565,1.5407,0.52339,0.74138,0.6151,0.33312,1.45805,1.28076,1.57882,0.0011345,0.0011345,0.0011345
30,233.754,1.45804,1.63524,1.55402,0.49798,0.5692,0.60005,0.26156,1.72196,1.42479,1.82257,0.00113038,0.00113038,0.00113038
31,241.459,1.43061,1.63821,1.54433,0.62312,0.7275,0.65246,0.35246,1.52602,1.1238,1.58978,0.00112625,0.00112625,0.00112625
32,249.191,1.40903,1.58687,1.51947,0.57253,0.64554,0.62695,0.34781,1.52436,1.09193,1.63636,0.00112213,0.00112213,0.00112213
33,256.893,1.41109,1.55381,1.51579,0.6057,0.54298,0.64462,0.36495,1.51522,1.10318,1.63159,0.001118,0.001118,0.001118
34,264.647,1.36836,1.5532,1.48999,0.58414,0.62816,0.61359,0.32992,1.62586,1.12883,1.71942,0.00111388,0.00111388,0.00111388
35,272.975,1.43281,1.55883,1.54874,0.54964,0.62243,0.60032,0.32434,1.5405,1.14326,1.72438,0.00110975,0.00110975,0.00110975
36,281.64,1.41161,1.5463,1.52005,0.63873,0.58232,0.63833,0.33872,1.59183,1.35922,1.67389,0.00110563,0.00110563,0.00110563
37,289.537,1.44125,1.56738,1.54111,0.52784,0.61619,0.60583,0.25203,1.7705,1.46717,1.8145,0.0011015,0.0011015,0.0011015
38,297.428,1.38278,1.52775,1.49201,0.5584,0.76507,0.6677,0.35875,1.55662,1.16891,1.62343,0.00109738,0.00109738,0.00109738
39,305.289,1.37051,1.53164,1.48965,0.5756,0.69985,0.63345,0.32038,1.59462,1.33324,1.65909,0.00109325,0.00109325,0.00109325
40,313.148,1.36094,1.48812,1.49262,0.70857,0.63729,0.65013,0.37209,1.53261,1.08048,1.63512,0.00108913,0.00108913,0.00108913
41,321.028,1.36245,1.4437,1.48839,0.66011,0.63697,0.63617,0.35652,1.53301,1.12614,1.61201,0.001085,0.001085,0.001085
42,328.9,1.36387,1.41437,1.49504,0.55946,0.67354,0.64689,0.34989,1.6044,1.05952,1.69164,0.00108088,0.00108088,0.00108088
43,336.753,1.36216,1.44451,1.49994,0.68312,0.657,0.67703,0.38483,1.49659,1.11087,1.59975,0.00107675,0.00107675,0.00107675
44,344.516,1.38435,1.43044,1.50617,0.57059,0.51638,0.58206,0.32277,1.55451,1.1756,1.67485,0.00107263,0.00107263,0.00107263
45,352.518,1.37663,1.3976,1.51247,0.61012,0.67707,0.63018,0.36586,1.52947,1.03955,1.63748,0.0010685,0.0010685,0.0010685
46,360.538,1.37343,1.49241,1.50673,0.70706,0.61876,0.65931,0.33028,1.6578,1.15636,1.73111,0.00106437,0.00106437,0.00106437
47,368.643,1.33634,1.38307,1.48208,0.51183,0.80813,0.65322,0.37189,1.50523,1.18489,1.63097,0.00106025,0.00106025,0.00106025
48,376.585,1.34653,1.41263,1.50992,0.50866,0.63553,0.63416,0.3563,1.52122,1.05332,1.66199,0.00105612,0.00105612,0.00105612
49,384.535,1.32444,1.36085,1.48016,0.63153,0.57914,0.61438,0.33979,1.53932,1.11324,1.62653,0.001052,0.001052,0.001052
50,392.623,1.36204,1.42665,1.49905,0.63527,0.55264,0.59958,0.34274,1.49833,1.0414,1.59656,0.00104787,0.00104787,0.00104787
51,400.603,1.33909,1.35659,1.47376,0.65262,0.58451,0.63398,0.36182,1.52129,1.06041,1.70337,0.00104375,0.00104375,0.00104375
