epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.607,2.03316,4.4003,2.22683,0.11968,0.58366,0.14374,0.05549,1.72027,2.89152,2.03913,0.000411325,0.000411325,0.000411325
2,20.2012,1.74531,2.49646,1.94768,0.23407,0.78959,0.27135,0.12245,1.60653,2.36922,2.11388,0.000819794,0.000819794,0.000819794
3,29.6632,1.74521,2.19269,2.00414,0.17962,0.55942,0.27473,0.09842,2.06207,2.75671,2.4871,0.00122001,0.00122001,0.00122001
4,39.1127,1.71819,2.15878,1.98612,0.32896,0.25358,0.24745,0.1159,1.63047,2.55766,2.11193,0.00121287,0.00121287,0.00121287
5,48.55,1.68089,2.01148,1.97717,0.22399,0.47778,0.36982,0.18601,1.69374,1.68251,2.17767,0.0012005,0.0012005,0.0012005
6,58.0041,1.68907,1.96628,1.95614,0.5782,0.3363,0.39965,0.20279,1.53758,1.5692,2.00743,0.00118812,0.00118812,0.00118812
7,67.5043,1.68046,1.98832,1.94151,0.37779,0.3991,0.33422,0.1731,1.54322,1.87366,2.03043,0.00117575,0.00117575,0.00117575
8,77.095,1.61224,1.79948,1.92179,0.63826,0.44478,0.47178,0.25939,1.63007,1.63431,2.11367,0.00116337,0.00116337,0.00116337
9,86.5291,1.59108,1.88326,1.92859,0.42549,0.66671,0.48713,0.23081,1.64263,1.6609,2.12436,0.001151,0.001151,0.001151
10,95.9588,1.59968,1.82063,1.92665,0.4241,0.46332,0.46323,0.23499,1.64498,1.40843,2.16168,0.00113863,0.00113863,0.00113863
11,105.385,1.59158,1.68701,1.92342,0.39012,0.52048,0.44294,0.23011,1.51452,1.39083,2.04201,0.00112625,0.00112625,0.00112625
12,114.828,1.64345,1.71106,1.96649,0.41027,0.6811,0.43193,0.22694,1.58541,1.79123,2.08341,0.00111388,0.00111388,0.00111388
13,124.228,1.53988,1.71025,1.86539,0.5104,0.71371,0.54586,0.30137,1.57118,1.28337,2.06365,0.0011015,0.0011015,0.0011015
14,133.708,1.53765,1.61656,1.88194,0.55381,0.6704,0.58868,0.30026,1.7388,1.23983,2.18039,0.00108913,0.00108913,0.00108913
15,143.186,1.5965,1.66715,1.91099,0.31737,0.51097,0.45916,0.24335,1.60374,1.36706,2.12294,0.00107675,0.00107675,0.00107675
16,152.656,1.55402,1.68085,1.91093,0.48052,0.73013,0.54936,0.30221,1.48781,1.29765,2.0281,0.00106437,0.00106437,0.00106437
17,162.122,1.54809,1.60443,1.88826,0.50142,0.63715,0.64279,0.37241,1.54433,1.23652,2.04228,0.001052,0.001052,0.001052
18,171.794,1.52056,1.56407,1.84847,0.36837,0.65118,0.55363,0.30754,1.5445,1.33573,2.04761,0.00103962,0.00103962,0.00103962
19,181.285,1.51592,1.52701,1.84624,0.47904,0.62644,0.52222,0.27402,1.63353,1.35251,2.14426,0.00102725,0.00102725,0.00102725
20,190.891,1.51842,1.52485,1.87375,0.50542,0.45269,0.51014,0.26068,1.6186,1.41145,2.10457,0.00101488,0.00101488,0.00101488
21,200.434,1.483,1.48122,1.82416,0.51983,0.71505,0.59676,0.31886,1.5969,1.45319,2.09636,0.0010025,0.0010025,0.0010025
22,210.015,1.50112,1.51772,1.83919,0.4639,0.61283,0.57624,0.32031,1.5117,1.18105,2.01981,0.000990125,0.000990125,0.000990125
23,219.556,1.4944,1.44005,1.85497,0.47717,0.62458,0.57627,0.3208,1.52864,1.10094,2.02704,0.00097775,0.00097775,0.00097775
24,229.024,1.50431,1.40507,1.85863,0.40727,0.59277,0.46033,0.23982,1.6583,1.73167,2.1635,0.000965375,0.000965375,0.000965375
25,238.553,1.48875,1.40496,1.84235,0.51395,0.73743,0.61352,0.35734,1.53159,1.00952,2.06173,0.000953,0.000953,0.000953
26,248.208,1.44731,1.35227,1.80471,0.46863,0.64355,0.4987,0.25045,1.6532,1.78168,2.18207,0.000940625,0.000940625,0.000940625
